PollingInstitute;Published;StartCollection;EndCollection;PollYear;PollMonth;PollWeek;Date_numeric;PolicyIndicator;IncumbentParty;Government;GovernmentSupport;SocialdemokraternaS;VänsterpartietV;MiljöpartietMP;ModeraternaM;LiberalernaL;CenterpartietC;KristdemokraternaKD;SverigedemokraternaSD;Övriga partierÖvriga;Unemployment;UnemploymentTrend;HouseholdConsumption;HouseholdConsumptionDetrended;ConsumerPriceIndexFixedInterest;ConsumerPriceIndex;ConsumerConfidence;GovtSearch
Skop;2002-04-01T00:00:00Z;2002-03-01;2002-04-30;2002;Apr 2002;2002-14;11778;0;S;S;40,8;40,8;11,0;3,8;24,1;4,6;4,8;9,8;NA;1,1;6,1;5,9;1,3;0,9;2,3;2,3;101,79680;NA
Novus;2002-04-01T00:00:00Z;2002-04-02;2002-04-16;2002;Apr 2002;2002-14;11778;0;S;S;45,6;45,6;11,2;4,1;22,7;3,7;4,7;7,2;NA;0,8;6,1;5,9;1,3;0,9;2,3;2,3;101,79680;NA
YouGov;2002-04-01T00:00:00Z;2002-04-09;2002-04-14;2002;Apr 2002;2002-14;11778;0;S;S;38,9;38,9;12,6;3,1;22,8;5,2;5,5;9,9;NA;2,0;6,1;5,9;1,3;0,9;2,3;2,3;101,79680;NA
Sifo;2002-04-20T00:00:00Z;2002-04-09;2002-04-17;2002;Apr 2002;2002-16;11797;0;S;S;45,8;45,8;9,4;3,3;22,7;5,0;5,6;6,8;NA;1,4;6,1;5,9;1,3;0,9;2,3;2,3;101,79680;NA
Sifo;2002-04-21T00:00:00Z;2002-03-18;2002-04-18;2002;Apr 2002;2002-16;11798;0;S;S;44,0;44,0;10,2;4,2;21,9;4,1;5,8;8,2;NA;1,6;6,1;5,9;1,3;0,9;2,3;2,3;101,79680;NA
Ipsos;2002-04-26T00:00:00Z;2002-04-15;2002-04-24;2002;Apr 2002;2002-17;11803;0;S;S;41,7;41,7;12,0;4,0;21,9;4,1;4,8;10,9;NA;0,6;6,1;5,9;1,3;0,9;2,3;2,3;101,79680;NA
Skop;2002-05-01T00:00:00Z;2002-04-18;2002-05-18;2002;May 2002;2002-18;11808;0;S;S;40,8;40,8;10,4;3,9;21,4;4,7;6,0;10,7;NA;2,1;6,1;5,9;-0,8;0,9;1,8;1,8;101,74010;NA
Demoskop;2002-05-01T00:00:00Z;2002-04-29;2002-05-06;2002;May 2002;2002-18;11808;0;S;S;40,9;40,9;11,3;3,7;22,4;5,5;6,4;8,1;NA;1,7;6,1;5,9;-0,8;0,9;1,8;1,8;101,74010;NA
YouGov;2002-05-01T00:00:00Z;2002-05-08;2002-05-14;2002;May 2002;2002-18;11808;0;S;S;38,3;38,3;10,8;3,6;23,1;4,9;5,0;10,6;NA;3,7;6,1;5,9;-0,8;0,9;1,8;1,8;101,74010;NA
Sifo;2002-05-11T00:00:00Z;2002-04-26;2002-05-07;2002;May 2002;2002-19;11818;0;S;S;48,9;48,9;9,7;3,6;21,8;4,2;3,8;6,6;NA;1,4;6,1;5,9;-0,8;0,9;1,8;1,8;101,74010;NA
Novus;2002-05-18T00:00:00Z;2002-04-23;2002-05-14;2002;May 2002;2002-20;11825;0;S;S;41,2;41,2;10,5;5,4;21,5;4,5;5,4;8,2;NA;3,3;6,1;5,9;-0,8;0,9;1,8;1,8;101,74010;NA
Sifo;2002-05-19T00:00:00Z;2002-04-23;2002-05-15;2002;May 2002;2002-20;11826;0;S;S;43,9;43,9;9,5;3,8;22,8;4,3;5,4;8,9;NA;1,4;6,1;5,9;-0,8;0,9;1,8;1,8;101,74010;NA
Ipsos;2002-05-31T00:00:00Z;2002-05-21;2002-05-29;2002;May 2002;2002-22;11838;0;S;S;39,8;39,8;9,3;4,3;24,0;5,0;6,2;9,2;NA;2,2;6,1;5,9;-0,8;0,9;1,8;1,8;101,74010;NA
Demoskop;2002-06-10T00:00:00Z;2002-05-28;2002-06-05;2002;Jun 2002;2002-24;11848;0;S;S;45,6;45,6;8,6;3,9;21,7;3,8;4,7;9,6;NA;2,1;6,8;5,9;3,1;1,2;1,8;1,8;101,78580;NA
Novus;2002-06-12T00:00:00Z;2002-05-27;2002-06-10;2002;Jun 2002;2002-24;11850;0;S;S;40,9;40,9;9,5;4,6;20,5;5,4;5,9;11,3;NA;1,9;6,8;5,9;3,1;1,2;1,8;1,8;101,78580;NA
Sifo;2002-06-12T00:00:00Z;2002-05-31;2002-06-10;2002;Jun 2002;2002-24;11850;0;S;S;44,1;44,1;9,4;4,0;24,6;5,4;4,7;6,3;NA;1,5;6,8;5,9;3,1;1,2;1,8;1,8;101,78580;NA
SCB;2002-06-15T00:00:00Z;2002-05-06;2002-05-29;2002;Jun 2002;2002-24;11853;0;S;S;43,1;43,1;10,4;3,2;21,9;5,1;5,4;9,2;NA;1,7;6,8;5,9;3,1;1,2;1,8;1,8;101,78580;NA
Sifo;2002-06-23T00:00:00Z;2002-05-20;2002-06-18;2002;Jun 2002;2002-25;11861;0;S;S;42,0;42,0;9,2;4,5;21,1;5,2;6,0;9,4;NA;2,6;6,8;5,9;3,1;1,2;1,8;1,8;101,78580;NA
Skop;2002-06-26T00:00:00Z;2002-05-20;2002-06-20;2002;Jun 2002;2002-26;11864;0;S;S;39,7;39,7;11,2;3,8;21,2;5,3;5,0;10,0;NA;3,8;6,8;5,9;3,1;1,2;1,8;1,8;101,78580;NA
Ipsos;2002-06-28T00:00:00Z;2002-06-13;2002-06-26;2002;Jun 2002;2002-26;11866;0;S;S;38,9;38,9;10,0;4,4;22,2;5,7;7,0;8,5;NA;3,3;6,8;5,9;3,1;1,2;1,8;1,8;101,78580;NA
Novus;2002-07-01T00:00:00Z;2002-06-17;2002-07-04;2002;Jul 2002;2002-27;11869;0;S;S;40,6;40,6;9,7;4,5;22,0;4,5;5,9;10,2;NA;2,6;5,7;5,9;1,5;1,2;2,0;2,0;101,89780;NA
Sifo;2002-07-01T00:00:00Z;2002-07-02;2002-07-08;2002;Jul 2002;2002-27;11869;0;S;S;43,7;43,7;9,6;3,3;22,4;4,7;5,0;9,2;NA;2,1;5,7;5,9;1,5;1,2;2,0;2,0;101,89780;NA
Sifo;2002-08-04T00:00:00Z;2002-07-22;2002-08-01;2002;Aug 2002;2002-31;11903;0;S;S;40,9;40,9;10,2;4,2;21,9;4,9;5,6;10,8;NA;1,5;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Novus;2002-08-09T00:00:00Z;2002-07-15;2002-08-06;2002;Aug 2002;2002-32;11908;0;S;S;38,7;38,7;10,8;4,2;22,8;4,0;5,3;11,0;NA;3,2;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-11T00:00:00Z;2002-08-05;2002-08-08;2002;Aug 2002;2002-32;11910;0;S;S;42,4;42,4;8,4;4,1;21,2;6,2;5,8;8,5;NA;3,4;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Ipsos;2002-08-16T00:00:00Z;2002-08-05;2002-08-14;2002;Aug 2002;2002-33;11915;0;S;S;41,2;41,2;10,1;3,9;19,4;6,8;6,0;10,2;NA;2,4;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-17T00:00:00Z;2002-08-02;2002-08-11;2002;Aug 2002;2002-33;11916;0;S;S;42,3;42,3;9,0;3,7;23,4;7,1;5,0;8,3;NA;1,2;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-18T00:00:00Z;2002-08-11;2002-08-16;2002;Aug 2002;2002-33;11917;0;S;S;38,0;38,0;11,1;3,4;23,4;7,0;5,6;10,3;NA;1,2;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-18T00:00:00Z;2002-08-12;2002-08-15;2002;Aug 2002;2002-33;11917;0;S;S;39,3;39,3;9,1;3,8;22,1;6,1;5,9;11,0;NA;2,7;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-22T00:00:00Z;2002-08-15;2002-08-21;2002;Aug 2002;2002-34;11921;0;S;S;36,7;36,7;11,8;3,7;21,3;7,1;5,3;12,9;NA;1,2;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-24T00:00:00Z;2002-08-12;2002-08-19;2002;Aug 2002;2002-34;11923;0;S;S;41,1;41,1;10,2;3,6;22,3;7,9;4,9;8,3;NA;1,7;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-24T00:00:00Z;2002-08-18;2002-08-23;2002;Aug 2002;2002-34;11923;0;S;S;36,4;36,4;11,8;3,7;19,5;7,7;6,5;12,6;NA;1,8;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-25T00:00:00Z;2002-08-19;2002-08-22;2002;Aug 2002;2002-34;11924;0;S;S;39,5;39,5;9,6;4,7;20,3;7,1;5,5;11,7;NA;1,6;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-26T00:00:00Z;2002-08-19;2002-08-25;2002;Aug 2002;2002-35;11925;0;S;S;36,9;36,9;11,0;3,8;19,9;8,3;6,3;12,1;NA;1,7;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-27T00:00:00Z;2002-08-20;2002-08-26;2002;Aug 2002;2002-35;11926;0;S;S;36,5;36,5;10,3;3,9;20,3;8,8;6,7;11,4;NA;2,1;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-28T00:00:00Z;2002-08-20;2002-08-26;2002;Aug 2002;2002-35;11927;0;S;S;38,9;38,9;9,4;4,3;20,6;7,5;5,8;11,9;NA;1,6;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-28T00:00:00Z;2002-08-21;2002-08-27;2002;Aug 2002;2002-35;11927;0;S;S;36,3;36,3;9,7;3,7;21,1;8,3;6,9;11,9;NA;2,1;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Ipsos;2002-08-28T00:00:00Z;2002-08-23;2002-08-26;2002;Aug 2002;2002-35;11927;0;S;S;38,4;38,4;9,3;6,6;20,1;7,3;4,8;11,5;NA;2,0;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-29T00:00:00Z;2002-08-21;2002-08-27;2002;Aug 2002;2002-35;11928;0;S;S;37,3;37,3;10,3;5,0;20,6;8,4;5,4;11,4;NA;1,6;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-29T00:00:00Z;2002-08-22;2002-08-28;2002;Aug 2002;2002-35;11928;0;S;S;37,1;37,1;9,4;4,0;20,6;8,2;6,7;11,6;NA;2,4;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Novus;2002-08-29T00:00:00Z;2002-08-24;2002-08-28;2002;Aug 2002;2002-35;11928;0;S;S;35,3;35,3;10,0;4,7;21,6;8,7;5,2;12,2;NA;2,3;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Ipsos;2002-08-29T00:00:00Z;2002-08-24;2002-08-27;2002;Aug 2002;2002-35;11928;0;S;S;38,6;38,6;10,3;5,4;19,5;7,6;4,8;11,8;NA;2,0;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-30T00:00:00Z;2002-08-22;2002-08-28;2002;Aug 2002;2002-35;11929;0;S;S;36,5;36,5;10,7;5,6;20,8;8,4;5,1;11,2;NA;1,7;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-30T00:00:00Z;2002-08-23;2002-08-29;2002;Aug 2002;2002-35;11929;0;S;S;36,9;36,9;9,6;4,4;20,6;8,0;6,3;12,2;NA;2,0;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Ipsos;2002-08-30T00:00:00Z;2002-08-25;2002-08-28;2002;Aug 2002;2002-35;11929;0;S;S;38,2;38,2;9,8;5,1;18,9;8,1;4,9;12,8;NA;2,2;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-31T00:00:00Z;2002-08-20;2002-08-26;2002;Aug 2002;2002-35;11930;0;S;S;41,6;41,6;9,2;3,4;21,5;8,4;5,2;8,8;NA;1,9;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-08-31T00:00:00Z;2002-08-23;2002-08-29;2002;Aug 2002;2002-35;11930;0;S;S;36,3;36,3;11,1;5,6;20,2;8,4;5,1;11,4;NA;1,9;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Skop;2002-08-31T00:00:00Z;2002-08-25;2002-08-30;2002;Aug 2002;2002-35;11930;0;S;S;37,1;37,1;9,5;4,0;20,8;9,4;5,3;11,9;NA;2,0;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Ipsos;2002-08-31T00:00:00Z;2002-08-26;2002-08-29;2002;Aug 2002;2002-35;11930;0;S;S;37,1;37,1;10,6;4,9;18,8;8,0;5,0;12,7;NA;2,9;5,5;6,0;1,3;1,5;1,9;1,8;101,74960;NA
Sifo;2002-09-01T00:00:00Z;2002-08-24;2002-08-30;2002;Sep 2002;2002-35;11931;0;S;S;37,1;37,1;10,5;5,6;20,6;8,8;4,1;11,0;NA;2,3;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-01T00:00:00Z;2002-08-27;2002-08-30;2002;Sep 2002;2002-35;11931;0;S;S;35,2;35,2;11,2;5,0;18,8;8,7;5,7;12,5;NA;2,9;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Novus;2002-09-01T00:00:00Z;2002-09-26;2002-09-26;2002;Sep 2002;2002-35;11931;0;S;S;42,3;42,3;8,4;4,1;13,4;16,1;6,1;7,5;NA;2,1;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-02T00:00:00Z;2002-08-26;2002-09-01;2002;Sep 2002;2002-36;11932;0;S;S;36,4;36,4;9,5;4,1;20,6;9,8;5,2;12,1;NA;2,3;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-02T00:00:00Z;2002-08-28;2002-08-31;2002;Sep 2002;2002-36;11932;0;S;S;36,8;36,8;10,2;4,7;21,3;9,0;4,5;11,2;NA;2,3;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-02T00:00:00Z;2002-08-28;2002-08-31;2002;Sep 2002;2002-36;11932;0;S;S;34,8;34,8;11,3;4,9;18,9;9,5;5,7;11,8;NA;3,1;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-03T00:00:00Z;2002-08-27;2002-09-02;2002;Sep 2002;2002-36;11933;0;S;S;36,3;36,3;9,8;4,0;20,9;10,8;4,7;11,3;NA;2,2;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-03T00:00:00Z;2002-08-29;2002-09-01;2002;Sep 2002;2002-36;11933;0;S;S;37,7;37,7;10,4;4,0;20,4;9,7;4,5;10,8;NA;2,5;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-03T00:00:00Z;2002-08-29;2002-09-01;2002;Sep 2002;2002-36;11933;0;S;S;35,1;35,1;11,4;5,0;19,5;9,5;6,2;10,4;NA;2,9;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-04T00:00:00Z;2002-08-28;2002-09-03;2002;Sep 2002;2002-36;11934;0;S;S;36,4;36,4;9,8;4,8;20,3;10,3;4,8;11,1;NA;2,5;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-04T00:00:00Z;2002-08-30;2002-09-02;2002;Sep 2002;2002-36;11934;0;S;S;38,3;38,3;9,7;4,1;20,6;9,9;4,7;10,2;NA;2,5;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-04T00:00:00Z;2002-08-30;2002-09-02;2002;Sep 2002;2002-36;11934;0;S;S;34,4;34,4;10,2;5,3;20,3;10,4;6,6;10,1;NA;2,7;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Demoskop;2002-09-05T00:00:00Z;2002-08-27;2002-09-02;2002;Sep 2002;2002-36;11935;0;S;S;34,7;34,7;13,2;4,5;20,0;9,2;5,4;10,6;NA;2,4;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-05T00:00:00Z;2002-08-31;2002-09-03;2002;Sep 2002;2002-36;11935;0;S;S;34,7;34,7;8,9;5,7;20,2;11,3;6,0;10,0;NA;3,2;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-06T00:00:00Z;2002-08-27;2002-09-02;2002;Sep 2002;2002-36;11936;0;S;S;38,3;38,3;10,5;3,7;19,9;10,8;5,7;8,9;NA;2,2;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-06T00:00:00Z;2002-08-30;2002-09-05;2002;Sep 2002;2002-36;11936;0;S;S;36,7;36,7;10,7;4,3;19,5;11,3;4,5;10,8;NA;2,2;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-06T00:00:00Z;2002-09-01;2002-09-04;2002;Sep 2002;2002-36;11936;0;S;S;39,8;39,8;9,5;3,5;20,3;9,3;5,4;10,0;NA;2,2;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-06T00:00:00Z;2002-09-01;2002-09-04;2002;Sep 2002;2002-36;11936;0;S;S;35,5;35,5;9,2;5,0;20,9;11,2;6,1;10,3;NA;1,8;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Novus;2002-09-06T00:00:00Z;2002-09-02;2002-09-05;2002;Sep 2002;2002-36;11936;0;S;S;36,7;36,7;9,1;5,4;17,7;11,6;5,8;10,7;NA;3,0;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-07T00:00:00Z;2002-09-01;2002-09-06;2002;Sep 2002;2002-36;11937;0;S;S;34,8;34,8;11,6;4,6;18,7;11,7;5,2;11,1;NA;2,3;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-07T00:00:00Z;2002-09-02;2002-09-05;2002;Sep 2002;2002-36;11937;0;S;S;39,8;39,8;8,4;3,8;20,7;9,0;5,2;11,0;NA;2,1;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-07T00:00:00Z;2002-09-02;2002-09-05;2002;Sep 2002;2002-36;11937;0;S;S;35,2;35,2;8,6;5,3;21,2;11,5;5,8;10,6;NA;1,8;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-08T00:00:00Z;2002-09-03;2002-09-06;2002;Sep 2002;2002-36;11938;0;S;S;38,6;38,6;9,3;3,9;20,1;9,2;5,2;11,8;NA;1,9;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-08T00:00:00Z;2002-09-03;2002-09-06;2002;Sep 2002;2002-36;11938;0;S;S;36,0;36,0;8,8;5,3;18,6;12,8;5,7;10,2;NA;2,6;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-09T00:00:00Z;2002-09-02;2002-09-08;2002;Sep 2002;2002-37;11939;0;S;S;35,0;35,0;12,2;4,9;18,4;11,1;5,4;10,8;NA;2,2;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-09T00:00:00Z;2002-09-04;2002-09-07;2002;Sep 2002;2002-37;11939;0;S;S;38,0;38,0;8,4;4,2;20,0;10,2;4,6;12,3;NA;2,3;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-09T00:00:00Z;2002-09-04;2002-09-07;2002;Sep 2002;2002-37;11939;0;S;S;36,7;36,7;9,2;4,9;18,9;13,3;5,3;9,4;NA;2,3;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-10T00:00:00Z;2002-09-03;2002-09-09;2002;Sep 2002;2002-37;11940;0;S;S;34,6;34,6;12,8;4,7;17,7;11,2;5,1;11,4;NA;2,5;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-10T00:00:00Z;2002-09-05;2002-09-08;2002;Sep 2002;2002-37;11940;0;S;S;38,1;38,1;8,6;4,9;18,5;11,6;4,7;11,4;NA;2,2;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-10T00:00:00Z;2002-09-05;2002-09-08;2002;Sep 2002;2002-37;11940;0;S;S;37,1;37,1;9,2;4,9;18,0;13,1;5,2;9,2;NA;3,3;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-11T00:00:00Z;2002-09-04;2002-09-10;2002;Sep 2002;2002-37;11941;0;S;S;35,5;35,5;12,1;4,3;17,4;11,8;5,1;11,4;NA;2,4;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-11T00:00:00Z;2002-09-06;2002-09-09;2002;Sep 2002;2002-37;11941;0;S;S;36,7;36,7;9,3;4,0;20,0;12,1;4,8;10,7;NA;2,4;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-11T00:00:00Z;2002-09-06;2002-09-09;2002;Sep 2002;2002-37;11941;0;S;S;36,8;36,8;9,5;4,4;18,0;13,3;5,2;9,3;NA;3,5;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-12T00:00:00Z;2002-09-05;2002-09-11;2002;Sep 2002;2002-37;11942;0;S;S;35,6;35,6;11,6;4,0;18,0;11,0;5,5;12,5;NA;1,8;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-12T00:00:00Z;2002-09-07;2002-09-10;2002;Sep 2002;2002-37;11942;0;S;S;36,3;36,3;9,6;4,1;19,3;13,0;4,9;9,9;NA;2,9;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Ipsos;2002-09-12T00:00:00Z;2002-09-07;2002-09-10;2002;Sep 2002;2002-37;11942;0;S;S;36,0;36,0;9,4;4,3;17,8;14,0;5,6;9,8;NA;3,1;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-13T00:00:00Z;2002-09-04;2002-09-11;2002;Sep 2002;2002-37;11943;0;S;S;39,5;39,5;8,9;4,2;17,1;14,3;5,9;8,3;NA;1,8;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Skop;2002-09-13T00:00:00Z;2002-09-06;2002-09-12;2002;Sep 2002;2002-37;11943;0;S;S;35,7;35,7;11,5;4,7;17,6;11,6;5,7;12,1;NA;1,1;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Demoskop;2002-09-13T00:00:00Z;2002-09-06;2002-09-11;2002;Sep 2002;2002-37;11943;0;S;S;36,3;36,3;9,3;4,2;20,4;12,0;4,0;10,3;NA;3,5;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
Sifo;2002-09-13T00:00:00Z;2002-09-08;2002-09-11;2002;Sep 2002;2002-37;11943;0;S;S;35,7;35,7;10,3;4,7;19,9;13,1;4,9;9,7;NA;1,7;5,7;6,0;2,4;1,6;1,8;1,7;101,50240;NA
